film_id,title,description,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features
1,Academy dinosaur,A epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies,1,6,0.99,86,20.99,PG,"Deleted scenes,behind the scenes"
2,Ace goldfinger,A astounding epistle of a database administrator and a explorer who must find a car in ancient china,1,3,4.99,48,12.99,G,"Trailers,deleted scenes"
3,Adaptation holes,A astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory,1,7,2.99,50,18.99,NC-17,"Trailers,deleted scenes"
4,Affair prejudice,A fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank,1,5,2.99,117,26.99,G,"Commentaries,behind the scenes"
5,African egg,A fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico,1,6,2.99,130,22.99,G,Deleted scenes
6,Agent truman,A intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china,1,3,2.99,169,17.99,PG,Deleted scenes
7,Airplane sierra,A touching saga of a hunter and a butler who must discover a butler in a jet boat,1,6,4.99,62,28.99,PG-13,"Trailers,deleted scenes"
8,Airport pollock,A epic tale of a moose and a girl who must confront a monkey in ancient india,1,6,4.99,54,15.99,R,Trailers
9,Alabama devil,A thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat,1,3,2.99,114,21.99,PG-13,"Trailers,deleted scenes"
10,Aladdin calendar,A action-packed tale of a man and a lumberjack who must reach a feminist in ancient china,1,6,4.99,63,24.99,NC-17,"Trailers,deleted scenes"
11,Alamo videotape,A boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention,1,6,0.99,126,16.99,G,"Commentaries,behind the scenes"
12,Alaska phantom,A fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia,1,6,0.99,136,22.99,PG,"Commentaries,deleted scenes"
13,Ali forever,A action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies,1,4,4.99,150,21.99,PG,"Deleted scenes,behind the scenes"
14,Alice fantasia,A emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia,1,6,0.99,94,23.99,NC-17,"Trailers,deleted scenes,behind the scenes"
15,Alien center,A brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention,1,5,2.99,46,10.99,NC-17,"Trailers,commentaries,behind the scenes"
16,Alley evolution,A fast-paced drama of a robot and a composer who must battle a astronaut in new orleans,1,6,2.99,180,23.99,NC-17,"Trailers,commentaries"
17,Alone trip,A fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house,1,3,0.99,82,14.99,R,"Trailers,behind the scenes"
18,Alter victory,A thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies,1,6,0.99,57,27.99,PG-13,"Trailers,behind the scenes"
19,Amadeus holy,A emotional display of a pioneer and a technical writer who must battle a man in a baloon,1,6,0.99,113,20.99,PG,"Commentaries,deleted scenes,behind the scenes"
20,Amelie hellfighters,A boring drama of a woman and a squirrel who must conquer a student in a baloon,1,4,4.99,79,23.99,R,"Commentaries,deleted scenes,behind the scenes"
21,American circus,A insightful drama of a girl and a astronaut who must face a database administrator in a shark tank,1,3,4.99,129,17.99,R,"Commentaries,behind the scenes"
22,Amistad midsummer,A emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california,1,6,2.99,85,10.99,G,"Commentaries,behind the scenes"
23,Anaconda confessions,A lacklusture display of a dentist and a dentist who must fight a girl in australia,1,3,0.99,92,9.99,R,"Trailers,deleted scenes"
24,Analyze hoosiers,A thoughtful display of a explorer and a pastry chef who must overcome a feminist in the sahara desert,1,6,2.99,181,19.99,R,"Trailers,behind the scenes"
25,Angels life,A thoughtful display of a woman and a astronaut who must battle a robot in berlin,1,3,2.99,74,15.99,G,Trailers
26,Annie identity,A amazing panorama of a pastry chef and a boat who must escape a woman in an abandoned amusement park,1,3,0.99,86,15.99,G,"Commentaries,deleted scenes"
27,Anonymous human,A amazing reflection of a database administrator and a astronaut who must outrace a database administrator in a shark tank,1,7,0.99,179,12.99,NC-17,"Deleted scenes,behind the scenes"
28,Anthem luke,A touching panorama of a waitress and a woman who must outrace a dog in an abandoned amusement park,1,5,4.99,91,16.99,PG-13,"Deleted scenes,behind the scenes"
29,Antitrust tomatoes,A fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india,1,5,2.99,168,11.99,NC-17,"Trailers,commentaries,deleted scenes"
30,Anything savannah,A epic story of a pastry chef and a woman who must chase a feminist in an abandoned fun house,1,4,2.99,82,27.99,R,"Trailers,deleted scenes,behind the scenes"
31,Apache divine,A awe-inspiring reflection of a pastry chef and a teacher who must overcome a sumo wrestler in a u-boat,1,5,4.99,92,16.99,NC-17,"Commentaries,deleted scenes,behind the scenes"
32,Apocalypse flamingos,A astounding story of a dog and a squirrel who must defeat a woman in an abandoned amusement park,1,6,4.99,119,11.99,R,"Trailers,commentaries"
33,Apollo teen,A action-packed reflection of a crocodile and a explorer who must find a sumo wrestler in an abandoned mine shaft,1,5,2.99,153,15.99,PG-13,"Trailers,commentaries,deleted scenes,behind the scenes"
34,Arabia dogma,A touching epistle of a madman and a mad cow who must defeat a student in nigeria,1,6,0.99,62,29.99,NC-17,"Commentaries,deleted scenes"
35,Arachnophobia rollercoaster,A action-packed reflection of a pastry chef and a composer who must discover a mad scientist in the first manned space station,1,4,2.99,147,24.99,PG-13,"Trailers,deleted scenes,behind the scenes"
36,Argonauts town,A emotional epistle of a forensic psychologist and a butler who must challenge a waitress in an abandoned mine shaft,1,7,0.99,127,12.99,PG-13,"Trailers,commentaries"
37,Arizona bang,A brilliant panorama of a mad scientist and a mad cow who must meet a pioneer in a monastery,1,3,2.99,121,28.99,PG,"Trailers,deleted scenes"
38,Ark ridgemont,A beautiful yarn of a pioneer and a monkey who must pursue a explorer in the sahara desert,1,6,0.99,68,25.99,NC-17,"Trailers,commentaries,deleted scenes,behind the scenes"
39,Armageddon lost,A fast-paced tale of a boat and a teacher who must succumb a composer in an abandoned mine shaft,1,5,0.99,99,10.99,G,Trailers
40,Army flintstones,A boring saga of a database administrator and a womanizer who must battle a waitress in nigeria,1,4,0.99,148,22.99,R,"Trailers,commentaries"
41,Arsenic independence,A fanciful documentary of a mad cow and a womanizer who must find a dentist in berlin,1,4,0.99,137,17.99,PG,"Trailers,deleted scenes,behind the scenes"
42,Artist coldblooded,A stunning reflection of a robot and a moose who must challenge a woman in california,1,5,2.99,170,10.99,NC-17,"Trailers,behind the scenes"
43,Atlantis cause,A thrilling yarn of a feminist and a hunter who must fight a technical writer in a shark tank,1,6,2.99,170,15.99,G,Behind the scenes
44,Attacks hate,A fast-paced panorama of a technical writer and a mad scientist who must find a feminist in an abandoned mine shaft,1,5,4.99,113,21.99,PG-13,"Trailers,behind the scenes"
45,Attraction newton,A astounding panorama of a composer and a frisbee who must reach a husband in ancient japan,1,5,4.99,83,14.99,PG-13,"Trailers,behind the scenes"
46,Autumn crow,A beautiful tale of a dentist and a mad cow who must battle a moose in the sahara desert,1,3,4.99,108,13.99,G,"Trailers,commentaries,deleted scenes,behind the scenes"
47,Baby hall,A boring character study of a a shark and a girl who must outrace a feminist in an abandoned mine shaft,1,5,4.99,153,23.99,NC-17,Commentaries
48,Backlash undefeated,A stunning character study of a mad scientist and a mad cow who must kill a car in a monastery,1,3,4.99,118,24.99,PG-13,"Trailers,behind the scenes"
49,Badman dawn,A emotional panorama of a pioneer and a composer who must escape a mad scientist in a jet boat,1,6,2.99,162,22.99,R,"Trailers,commentaries,behind the scenes"
50,Baked cleopatra,A stunning drama of a forensic psychologist and a husband who must overcome a waitress in a monastery,1,3,2.99,182,20.99,G,"Commentaries,behind the scenes"
51,Balloon homeward,A insightful panorama of a forensic psychologist and a mad cow who must build a mad scientist in the first manned space station,1,5,2.99,75,10.99,NC-17,Deleted scenes
52,Ballroom mockingbird,A thrilling documentary of a composer and a monkey who must find a feminist in california,1,6,0.99,173,29.99,G,"Commentaries,deleted scenes"
53,Bang kwai,A epic drama of a madman and a cat who must face a a shark in an abandoned amusement park,1,5,2.99,87,25.99,NC-17,"Commentaries,deleted scenes,behind the scenes"
54,Banger pinocchio,A awe-inspiring drama of a car and a pastry chef who must chase a crocodile in the first manned space station,1,5,0.99,113,15.99,R,"Trailers,commentaries,deleted scenes"
55,Barbarella streetcar,A awe-inspiring story of a feminist and a cat who must conquer a dog in a monastery,1,6,2.99,65,27.99,G,Behind the scenes
56,Barefoot manchurian,A intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park,1,6,2.99,129,15.99,G,"Trailers,commentaries"
57,Basic easy,A stunning epistle of a man and a husband who must reach a mad scientist in a jet boat,1,4,2.99,90,18.99,PG-13,Deleted scenes
58,Beach heartbreakers,A fateful display of a womanizer and a mad scientist who must outgun a a shark in soviet georgia,1,6,2.99,122,16.99,G,"Deleted scenes,behind the scenes"
59,Bear graceland,A astounding saga of a dog and a boy who must kill a teacher in the first manned space station,1,4,2.99,160,20.99,R,Deleted scenes
60,Beast hunchback,A awe-inspiring epistle of a student and a squirrel who must defeat a boy in ancient china,1,3,4.99,89,22.99,R,"Deleted scenes,behind the scenes"
61,Beauty grease,A fast-paced display of a composer and a moose who must sink a robot in an abandoned mine shaft,1,5,4.99,175,28.99,G,"Trailers,commentaries"
62,Bed highball,A astounding panorama of a lumberjack and a dog who must redeem a woman in an abandoned fun house,1,5,2.99,106,23.99,NC-17,"Trailers,commentaries,deleted scenes"
63,Bedazzled married,A astounding character study of a madman and a robot who must meet a mad scientist in an abandoned fun house,1,6,0.99,73,21.99,PG,"Trailers,deleted scenes,behind the scenes"
64,Beethoven exorcist,A epic display of a pioneer and a student who must challenge a butler in the gulf of mexico,1,6,0.99,151,26.99,PG-13,"Commentaries,behind the scenes"
65,Behavior runaway,A unbelieveable drama of a student and a husband who must outrace a sumo wrestler in berlin,1,3,4.99,100,20.99,PG,"Trailers,deleted scenes,behind the scenes"
66,Beneath rush,A astounding panorama of a man and a monkey who must discover a man in the first manned space station,1,6,0.99,53,27.99,NC-17,"Commentaries,deleted scenes"
67,Berets agent,A taut saga of a crocodile and a boy who must overcome a technical writer in ancient china,1,5,2.99,77,24.99,PG-13,Deleted scenes
68,Betrayed rear,A emotional character study of a boat and a pioneer who must find a explorer in a shark tank,1,5,4.99,122,26.99,NC-17,"Commentaries,deleted scenes,behind the scenes"
69,Beverly outlaw,A fanciful documentary of a womanizer and a boat who must defeat a madman in the first manned space station,1,3,2.99,85,21.99,R,Trailers
70,Bikini borrowers,A astounding drama of a astronaut and a cat who must discover a woman in the first manned space station,1,7,4.99,142,26.99,NC-17,"Commentaries,deleted scenes"
71,Bilko anonymous,A emotional reflection of a teacher and a man who must meet a cat in the first manned space station,1,3,4.99,100,25.99,PG-13,"Commentaries,deleted scenes,behind the scenes"
72,Bill others,A stunning saga of a mad scientist and a forensic psychologist who must challenge a squirrel in a mysql convention,1,6,2.99,93,12.99,PG,"Trailers,commentaries"
73,Bingo talented,A touching tale of a girl and a crocodile who must discover a waitress in nigeria,1,5,2.99,150,22.99,PG-13,"Trailers,commentaries"
74,Birch antitrust,A fanciful panorama of a husband and a pioneer who must outgun a dog in a baloon,1,4,4.99,162,18.99,PG,"Trailers,commentaries,deleted scenes"
75,Bird independence,A thrilling documentary of a car and a student who must sink a hunter in the canadian rockies,1,6,4.99,163,14.99,G,"Commentaries,behind the scenes"
76,Birdcage casper,A fast-paced saga of a frisbee and a astronaut who must overcome a feminist in ancient india,1,4,0.99,103,23.99,NC-17,"Commentaries,deleted scenes,behind the scenes"
77,Birds perdition,A boring story of a womanizer and a pioneer who must face a dog in california,1,5,4.99,61,15.99,G,"Trailers,behind the scenes"
78,Blackout private,A intrepid yarn of a pastry chef and a mad scientist who must challenge a secret agent in ancient japan,1,7,2.99,85,12.99,PG,"Trailers,deleted scenes"
79,Blade polish,A thoughtful character study of a frisbee and a pastry chef who must fight a dentist in the first manned space station,1,5,0.99,114,10.99,PG-13,"Trailers,behind the scenes"
80,Blanket beverly,A emotional documentary of a student and a girl who must build a boat in nigeria,1,7,2.99,148,21.99,G,Trailers
81,Blindness gun,A touching drama of a robot and a dentist who must meet a hunter in a jet boat,1,6,4.99,103,29.99,PG-13,"Trailers,behind the scenes"
82,Blood argonauts,A boring drama of a explorer and a man who must kill a lumberjack in a manhattan penthouse,1,3,0.99,71,13.99,G,"Trailers,commentaries,behind the scenes"
83,Blues instinct,A insightful documentary of a boat and a composer who must meet a forensic psychologist in an abandoned fun house,1,5,2.99,50,18.99,G,"Trailers,deleted scenes,behind the scenes"
84,Boiled dares,A awe-inspiring story of a waitress and a dog who must discover a dentist in ancient japan,1,7,4.99,102,13.99,PG,"Trailers,commentaries"
85,Bonnie holocaust,A fast-paced story of a crocodile and a robot who must find a moose in ancient japan,1,4,0.99,63,29.99,G,Deleted scenes
86,Boogie amelie,A lacklusture character study of a husband and a sumo wrestler who must succumb a technical writer in the gulf of mexico,1,6,4.99,121,11.99,R,"Commentaries,behind the scenes"
87,Boondock ballroom,A fateful panorama of a crocodile and a boy who must defeat a monkey in the gulf of mexico,1,7,0.99,76,14.99,NC-17,Behind the scenes
88,Born spinal,A touching epistle of a frisbee and a husband who must pursue a student in nigeria,1,7,4.99,179,17.99,PG,"Trailers,commentaries,deleted scenes"
